Keyword;URL;Fecha;Pais;Categoria;Subcategoria;Personaje;Marca;Semana;Keyword3;Grupo/Empresa/owner derechos;Franquicia;Sub-Franquicia;Contenido;Personaje2
comida coreana;https://listado.mercadolibre.cl/comida-coreana#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;comida coreana;;;;;
granola;https://listado.mercadolibre.cl/granola#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;granola;;;;;
vinagre blanco;https://listado.mercadolibre.cl/vinagre-blanco#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;vinagre blanco;;;;;
nuestra cocina;https://listado.mercadolibre.cl/nuestra-cocina#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;nuestra cocina;;;;;
syrup;https://listado.mercadolibre.cl/syrup#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;syrup;;;;;
tabletones;https://listado.mercadolibre.cl/tabletones#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;tabletones;;;;;
kit kat;https://listado.mercadolibre.cl/kit-kat#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;Kat;2022-08-22;kit kat;;;;;
helado;https://listado.mercadolibre.com.co/helado#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;helado;;;;;
jamon iberico;https://listado.mercadolibre.com.co/jamon-iberico#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;jamon iberico;;;;;
regalo para mujer;https://listado.mercadolibre.com.co/regalo-para-mujer#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;regalo para mujer;;;;;
armenia quindio;https://listado.mercadolibre.com.co/armenia-quindio#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;armenia quindio;;;;;
stevia liquida;https://listado.mercadolibre.com.co/stevia-liquida#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;stevia liquida;;;;;
stevia;https://listado.mercadolibre.com.co/stevia#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;stevia;;;;;
salsa chamoy;https://listado.mercadolibre.com.co/salsa-chamoy#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;salsa chamoy;;;;;
vinagre manzana;https://listado.mercadolibre.com.co/vinagre-manzana#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;vinagre manzana;;;;;
pimienta dulce;https://listado.mercadolibre.com.co/pimienta-dulce#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;pimienta dulce;;;;;
dulces japoneses;https://listado.mercadolibre.com.co/dulces-japoneses#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;dulces japoneses;;;;;
almendras;https://listado.mercadolibre.com.co/almendras#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;almendras;;;;;
pistachos;https://listado.mercadolibre.com.co/pistachos#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;pistachos;;;;;
arroz;https://listado.mercadolibre.com.co/arroz#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;arroz;;;;;
alulosa;https://listado.mercadolibre.com.co/alulosa#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;alulosa;;;;;
avena;https://listado.mercadolibre.com.co/avena#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;avena;;;;;
carne seca;https://listado.mercadolibre.com.co/carne-seca#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;carne seca;;;;;
xilitol;https://listado.mercadolibre.com.co/xilitol#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;xilitol;;;;;
avellana;https://listado.mercadolibre.com.co/avellana#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;avellana;;;;;
miguelito chamoy;https://listado.mercadolibre.com.co/miguelito-chamoy#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;miguelito chamoy;;;;;
atun;https://listado.mercadolibre.com.co/atun#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;atun;;;;;
shirataki;https://listado.mercadolibre.com.co/shirataki#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;shirataki;;;;;
marañon;https://listado.mercadolibre.com.co/marañon#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;marañon;;;;;
cacao;https://listado.mercadolibre.com.co/cacao#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;cacao;;;;;
datiles;https://listado.mercadolibre.com.co/datiles#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;datiles;;;;;
ajonjoli;https://listado.mercadolibre.com.co/ajonjoli#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;ajonjoli;;;;;
aceitunas negras;https://listado.mercadolibre.com.co/aceitunas-negras#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;aceitunas negras;;;;;
amaranto;https://listado.mercadolibre.com.co/amaranto#trend;2022-08-26;Colombia;Alimentos y Bebidas;Almacén;;;2022-08-22;amaranto;;;;;
