Keyword;URL;Fecha;Pais;Categoria;Subcategoria;Personaje;Marca
geleia;https://lista.mercadolivre.com.br/geleia#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
paçoca;https://lista.mercadolivre.com.br/paçoca#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
milka;https://lista.mercadolivre.com.br/milka#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
xarope monin;https://lista.mercadolivre.com.br/xarope-monin#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
aveia;https://lista.mercadolivre.com.br/aveia#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
sal;https://lista.mercadolivre.com.br/sal#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
maionese;https://lista.mercadolivre.com.br/maionese#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
salgadinho;https://lista.mercadolivre.com.br/salgadinho#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
oleo de soja;https://lista.mercadolivre.com.br/oleo-de-soja#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
capuccino;https://lista.mercadolivre.com.br/capuccino#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
pipoca;https://lista.mercadolivre.com.br/pipoca#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
doces atacado;https://lista.mercadolivre.com.br/doces-atacado#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
melzinho estimulante;https://lista.mercadolivre.com.br/melzinho-estimulante#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
doce;https://lista.mercadolivre.com.br/doce#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
feijao;https://lista.mercadolivre.com.br/feijao#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
alimentos;https://lista.mercadolivre.com.br/alimentos#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
biscoitos amanteigados;https://lista.mercadolivre.com.br/biscoitos-amanteigados#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
arroz 5 kg;https://lista.mercadolivre.com.br/arroz-5-kg#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
manteiga ghee;https://lista.mercadolivre.com.br/manteiga-ghee#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
leite condensado;https://lista.mercadolivre.com.br/leite-condensado#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
capsulas dolce gusto;https://lista.mercadolivre.com.br/capsulas-dolce-gusto#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;dolce gusto
pasta de amendoim;https://lista.mercadolivre.com.br/pasta-de-amendoim#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
leite condensado atacado;https://lista.mercadolivre.com.br/leite-condensado-atacado#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
capsulas nespresso;https://lista.mercadolivre.com.br/capsulas-nespresso#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;nespresso
capsula dolce gusto;https://lista.mercadolivre.com.br/capsula-dolce-gusto#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;dolce gusto
pasta de amendoim integral;https://lista.mercadolivre.com.br/pasta-de-amendoim-integral#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
cafe;https://lista.mercadolivre.com.br/cafe#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
cesta basica;https://lista.mercadolivre.com.br/cesta-basica#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
azeite;https://lista.mercadolivre.com.br/azeite#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
